Session_Name,Description,Base_Rating,teen_male,teen_female,young_male,young_female,adult_male,adult_female,senior_male,senior_female
Deep Sleep Story - Ocean Waves,Soothing narration with ocean waves for deep sleep,5,3,3,6,4,3,5,4,4
Anxiety Release Breathing,Guided breathing to release anxiety tension,5,3,5,5,6,5,4,2,4
Morning Mindful Stretch,Gentle morning stretches with mindfulness cues,4,2,4,6,5,3,5,3,4
Focus Booster Flow,Dynamic flow to sharpen concentration,3,5,4,4,2,1,2,2,2
Bedtime Wind-Down,Evening relaxation sequence before bed,5,6,6,5,5,3,5,4,4
Stress Relief Soundscape,Nature sounds blended with calming frequencies,5,4,3,7,7,3,5,5,3
Daily Calm Meditation,10-minute daily mindfulness practice,3,6,6,3,3,3,2,1,1
Gratitude Practice,Gratitude journaling with guided reflection,4,3,3,6,5,5,3,4,3
Body Scan Relaxation,Full body scan for tension release,5,4,3,4,4,5,5,3,4
Breath Awareness,Simple breath awareness meditation,4,4,3,6,6,3,2,1,2
Loving-Kindness Meditation,Metta loving-kindness practice,5,4,5,6,7,4,4,3,3
Progressive Muscle Relaxation,Progressive muscle tension/release,5,6,7,4,4,4,6,4,4
Guided Visualization Beach,Beach visualization journey,5,4,5,7,7,6,4,5,4
5-Minute Anxiety Reset,Quick 5-minute anxiety intervention,7,9,9,8,8,6,6,7,6
10-Minute Focus Session,Focused attention training session,7,10,10,7,8,7,7,7,5
Evening Unwind Yoga,Gentle yoga poses for evening,6,5,4,8,6,5,6,5,5
Sleep Music Ambient,Ambient sleep music composition,6,6,5,6,7,4,5,3,3
Mindful Walking,Walking meditation guidance,5,6,8,6,6,4,3,4,2
Heart Coherence Breathing,Heart-focused breathing coherence,6,8,9,7,6,7,5,4,5
Quick Energy Boost,Quick energy awakening sequence,6,8,9,6,6,5,5,5,4
Restore & Renew Yin,Slow yin yoga holds,4,7,7,4,4,5,5,3,4
Mantra Meditation Om,Om mantra repetition meditation,5,5,4,7,6,6,6,4,3
Nature Sounds Forest,Forest ambient sounds immersion,5,4,4,4,6,6,4,2,3
Grounding Earth Meditation,Grounding visualization,6,6,4,6,6,4,5,4,6
Joyful Movement Flow,Joyful dynamic movement practice,6,8,6,6,8,4,6,5,4
Compassion Practice,Compassion cultivation meditation,5,6,5,5,6,5,6,4,5
Deep Listening Sound Bath,Sound bath with bowls,6,6,6,6,8,6,7,4,5
Balanced Day Transition,Day transition balancing practice,5,5,5,6,7,3,3,3,4
Nighttime Gratitude,Evening gratitude wind-down,6,9,9,7,7,7,7,4,5
Inner Peace Silent,Silent inner peace sitting,5,3,4,6,6,4,3,4,4
Breath of Fire Energizer,Energizing breath of fire,6,6,6,6,6,6,5,4,5
Gentle Hatha Flow,Gentle traditional hatha poses,3,3,4,3,3,3,1,3,3
Chakra Balancing,Chakra alignment meditation,5,6,7,5,6,5,5,3,3
Affirmation Power Hour,Positive affirmations practice,6,6,5,7,7,5,5,3,3
Savasana Sound Journey,Extended savasana with soundscape,4,7,5,4,3,4,4,3,4
Warrior Mindset Sequence,Empowering warrior sequence,6,5,4,8,6,5,5,4,3
Lunar Flow Yin,Moon-inspired yin yoga flow,5,6,8,5,6,5,4,5,4
Solar Energizer Vinyasa,Sun salutation energizer,7,7,8,8,8,7,6,5,5
Heart Opening Backbends,Heart-opening backbend focus,6,6,5,6,8,6,7,4,4
Hip Release Sequence,Deep hip opener sequence,5,5,3,4,5,5,3,2,4
Core Strength Focus,Core strengthening with focus,4,4,5,6,4,3,2,2,2
Balance Challenge,Balance pose challenge,5,4,6,6,5,5,4,4,2
Restorative Supported Poses,Supported restorative poses,5,6,6,6,5,3,5,2,4
Pranayama Box Breathing,Box breathing technique,5,8,8,6,5,4,6,2,4
Alternate Nostril Breathing,Nadi shodhana pranayama,6,4,4,6,5,5,4,6,6
Ujjayi Ocean Breath,Ujjayi pranayama practice,6,4,6,6,8,6,7,5,4
Kapalabhati Skull Shining,Kapalabhati cleansing breath,5,7,5,7,5,3,5,2,4
Bhramari Bee Breath,Bee breath humming meditation,4,4,3,5,4,3,5,4,2
Guided Imagery Mountain,Mountain imagery guided,5,5,6,5,4,4,5,4,3
Desert Calm Visualization,Desert landscape visualization,7,6,7,8,8,6,6,4,5[web:61][web:62]
